CCY_CD,time,"MEAN(category.TIME_SINCE_PREVIOUS(BGN_DT, unit=days))","MAX(category.TIME_SINCE_PREVIOUS(BGN_DT, unit=days))","MIN(category.TIME_SINCE_PREVIOUS(BGN_DT, unit=days))",COUNT(category),"SUM(category.TIME_SINCE_PREVIOUS(BGN_DT, unit=days))","STD(category.TIME_SINCE_PREVIOUS(BGN_DT, unit=days))"
156,2014-03-31,0.0017888735993709455,2.0,0.0,50870.0,91.0,0.04272031495856048
840,2014-03-31,0.2732732732732733,10.0,0.0,333.0,91.0,0.8289420825978153
978,2014-03-31,6.466666666666667,31.0,0.0,15.0,97.0,8.814490234564792
392,2014-03-31,16.0,45.0,4.0,7.0,112.0,14.628738838327795
344,2014-03-31,,,,0.0,0.0,
826,2014-03-31,,,,0.0,0.0,
